YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2019,8,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337137,ELDERTON SHZ CAB E SERIES  - 750ML,WINE,0.0,0.0,1.0
2020,1,LANTERNA DISTRIBUTORS INC,338972,SILVER CREEK CAB - 750ML,WINE,0.0,0.0,4.0
2019,9,"THE COUNTRY VINTNER, LLC DBA WINEBOW",422134,DOM LAFAGE COTE GREN RGE - 750ML,WINE,0.0,0.0,2.0
2017,7,THE WINE GROUP,82465,CORBETT CANYON S/BLC - 1.5L,WINE,0.17,0.0,0.0
2018,2,MHW LTD,72279,BLUE CHAIR BAY COCONUT RUM - 750ML,LIQUOR,0.24,0.0,0.0
2019,9,JIM BEAM BRANDS CO,35777,GILBEY'S VODKA - 375ML,LIQUOR,118.76,116.0,2.0
2019,6,CONSTELLATION BRANDS,54020,WOODBRIDGE P/GRIG - 187ML,WINE,28.79,28.0,51.0
2017,12,MONSIEUR TOUTON SELECTION,427839,RASCAL P/NOIR - 750ML,WINE,6.71,8.0,10.0
2017,11,TRADEWINDS SPECIALTY IMPORTS LLC,435724,EDER CRIANZA - 750ML,WINE,0.0,0.0,1.0
2020,9,SOUTHERN GLAZERS WINE AND SPIRITS,303385,VOGA MOSCATO - 750ML,WINE,0.41,0.0,5.0
2020,7,LEGENDS LTD,10829,WOLFFERS DRY ROSE CIDER - 12.OZ 6/4NR,BEER,0.0,0.0,8.0
2019,8,E & J GALLO WINERY,84924,APOTHIC  CAL CRUSH RED BL - 750ML,WINE,29.13,51.0,51.0
2019,6,SOUTHERN GLAZERS WINE AND SPIRITS,237056,CA BIANCA BRACHETTO D'ACQUI - 750ML,WINE,0.0,0.0,1.0
2017,10,VINTAGE WINE ESTATES INC,84605,WINE SISTERHOOD CAB - 750ML,WINE,4.43,3.0,0.0
2020,1,MOUNT DEFIANCE CIDERY & DISTILLERY LLC,63629,MT. DEFIANCE CASSIS LIQUEUR 375ML,LIQUOR,1.36,6.0,0.0
2019,2,MONSIEUR TOUTON SELECTION,236020,VEUVE DUBARRY CUV PRESTIGE - 750ML,WINE,0.0,0.0,4.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",306611,CHASING LIONS CAB - 750ML,WINE,0.0,0.0,2.0
2019,9,MICHAEL R DOWNEY SELECTIONS INC,437395,VIETTI NEBB PERBACCO - 750ML,WINE,0.0,0.0,1.0
2019,8,DOPS INC,94790,JEVER PILSNER 4/6NR - 11.2OZ,BEER,0.0,1.0,6.0
2019,2,WILLIAM HARRISON IMPORTS,334261,TERRE D VALGRANDE PRIM - 750ML,WINE,0.5,1.0,0.0
2017,12,BOSTON BEER CORPORATION,31105,A/O ORCHARD'S EDGE KNOTTY PEAR NR,BEER,19.29,13.0,62.0
2017,11,BACKUP BEVERAGE,50168,DUCK RABBIT AMBER 4/6 NR,BEER,0.0,0.0,2.0
2018,2,THE EDRINGTON GROUP USA LLC,78221,HIGHLAND PARK DARK ORIGINS - 750ML,LIQUOR,0.51,1.0,0.0
2019,5,WESTERN SPIRITS BEVERAGE COMPANY LLC,70544,KRU 82  IMPORTED VODKA - 750ML,LIQUOR,0.17,0.0,0.0
2017,6,PRESTIGE BEVERAGE GROUP OF MD LLC,33197,MORGAN TWELVE CLONES P/NOIR - 750ML,WINE,0.08,0.0,0.0
2018,2,CONSTELLATION BRANDS,78387,ARBOR MIST EXOTIC FRUIT WH/ZIN - 1.5L,WINE,6.92,4.0,23.0
2019,6,BACCHUS IMPORTERS LTD,342232,PLANTATION 3 STARS RUM -,LIQUOR,7.28,5.0,1.0
2018,1,JACKSON FAMILY ENTERPRISES INC,341660,JACKSON EST SANTA MARIA VLY CHARD - 750ML,WINE,0.0,0.0,8.0
2020,3,BACCHUS IMPORTERS LTD,308601,MATCHBOOK SYR - 750ML,WINE,0.0,0.0,1.0
2019,9,LEGENDS LTD,60650,CIGAR CITY JAI ALAI 4/6 CANS,BEER,13.0,22.0,82.0
2019,10,STELLAR IMPORTING CO LLC,80440,BROUSKO RED - 750ML,WINE,0.32,0.0,0.0
2019,3,INTERBALT PRODUCTS CORP,345715,MARANI ROSE BRUT SPK - 750ML,WINE,0.0,0.0,1.0
2020,1,CONSTANTINE WINES INC,348700,DALVA RUBY PORT - 750ML,WINE,0.34,0.0,2.0
2020,3,PUNTO VINO LLC,238182,COLSANTO ROSSO MONTEFALCO - 750ML,WINE,0.0,0.0,1.0
2019,1,BACCHUS IMPORTERS LTD,236420,LA VIELLE FERME RES SPARK ROSE - 750ML,WINE,0.0,0.0,2.0
2017,12,KOBRAND CORPORATION,314009,CAKEBREAD S/BLC 16/17 - 750ML,WINE,33.18,33.0,7.0
2019,8,DIAGEO NORTH AMERICA INC,46401,DON JULIO REAL - 750ML,LIQUOR,0.68,0.0,0.0
2017,9,PARK STREET IMPORTS LLC,77434,TANTEO TEQUILA - JALAPENO - 750ML,LIQUOR,2.71,7.0,1.0
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,10693,TAYLOR LAKE COUNTRY RED - 3L,WINE,4.5,3.0,0.0
2019,11,PERNOD RICARD USA LLC,65714,ABSOLUT VODKA - 80 PROOF - 375ML,LIQUOR,18.6,24.0,1.0
2019,8,PRESTIGE BEVERAGE GROUP OF MD LLC,318272,DELOACH MER - 750ML,WINE,0.0,0.0,3.0
2018,2,BACCHUS IMPORTERS LTD,37621,SEVEN DEADLY ZINS ZIN - 750ML,WINE,12.29,15.0,10.0
2019,9,GLOBAL OCEAN AND AIR CARGO SERVICES,333421,ACACIA SWEET RED - 750ML,WINE,8.34,11.0,11.0
2017,10,COMETE WINES LLC,335180,CH ST VALERY ST EMILION - 750ML,WINE,1.29,0.0,1.0
2017,12,A VINTNERS SELECTIONS,312014,THE ORIGINALS RED - 750ML,WINE,0.0,0.0,2.0
2017,9,DON SEBASTIANI & SONS,342242,PEPPERWOOD GROVE PINOT NOIR - 3L,WINE,3.25,0.0,0.0
2017,11,SOUTHERN GLAZERS WINE AND SPIRITS,72775,SABRA ORANGE CHOCOLATE LIQUEUR - 750ML,LIQUOR,0.68,2.0,0.0
2020,9,BACKUP BEVERAGE,60448,AVERY MAHARAJA 4/6 CANS,BEER,0.0,0.0,1.0
2019,10,J LOHR WINERY,81191,J LOHR BAY MIST WHITE RIES - 750ML,WINE,1.55,1.0,4.0
2020,7,ELITE WINES IMPORTS,303410,CH HAUT LARTENAC - 750ML,WINE,0.0,0.0,2.0
2019,1,SUTTER HOME WINERY INC,310381,AVISSI PROSECCO - 750ML,WINE,0.0,0.83,34.0
2020,7,JIM BEAM BRANDS CO,78512,PINNACLE MANGO VODKA - 750ML,LIQUOR,0.33,0.0,0.0
2019,7,WELL OILED WINE COMPANY LLC,342605,ANCIANO GARNACHA - 750ML,WINE,0.0,0.0,4.0
2017,7,PRESTIGE BEVERAGE GROUP OF MD LLC,70391,DINGLE GIN - 750ML,LIQUOR,0.34,0.0,0.0
2019,11,THE WINE GROUP,424730,CUPCAKE MALBEC - 750ML,WINE,2.8,3.0,9.0
2019,6,PRESTIGE BEVERAGE GROUP OF MD LLC,232934,FOUNDING SPIRITS RYE WHISKEY - 750ML,LIQUOR,0.0,0.0,2.0
2019,9,"THE COUNTRY VINTNER, LLC DBA WINEBOW",47927,HEINZ EIFEL RIES MOSEL AUS - 750ML,WINE,0.84,1.0,0.0
2020,9,PERNOD RICARD USA LLC,45012,H WALKER BRANDY - BLACKBERRY - 1L,LIQUOR,2.07,0.0,0.0
2018,2,JIM BEAM BRANDS CO,27448,MCCLELLAND'S HIGHLAND SCOTCH - 750ML,LIQUOR,5.12,4.0,0.0
2019,6,REPUBLIC NATIONAL DISTRIBUTING CO,326019,H WALKER - BLACK RASPBERRY - 1L,LIQUOR,0.0,0.0,1.0
2020,9,SOUTHERN GLAZERS WINE AND SPIRITS,417313,TWO OCEANS CHARD - 1.5L,WINE,0.0,0.0,9.0
2019,8,DIONYSOS IMPORTS INC,321452,PETIT BALTHAZAR PAYS CINSAULT RSE - 750ML,WINE,0.83,0.0,0.0
2017,11,REPUBLIC NATIONAL DISTRIBUTING CO,345427,WESTERN SON BLUEBERRY TEXAS VODKA - 750ML,LIQUOR,4.18,4.0,0.0
2017,9,AMERICAN BEVERAGE CORPORATION,71799,DAILYS COCKTAIL SWEET & SOUR - NA - 1L,BEER,0.91,0.0,0.0
2017,12,REMY COINTREAU USA,70629,METAXA BRANDY 5 STAR - 750ML,LIQUOR,6.74,5.0,0.0
2017,8,KLEIN FAMILY VINTNERS,83097,R STRONG CHARLOTTE S/BLC - 750ML,WINE,17.73,24.0,4.0
2019,11,YOUNG WON TRADING INC,378321,YW SHIRAKABE GURA WHITE LABEL - 300ML,WINE,0.49,0.0,0.0
2017,8,DOPS INC,310343,MONTINORE ESTATE ALMOST DRY RIES - 750ML,WINE,0.0,0.0,0.0
2017,9,BACARDI USA INC,38393,BACARDI RUM - GOLD - 375ML,LIQUOR,32.28,30.0,1.0
2019,11,BOSTON BEER CORPORATION,26003,TWISTED TEA HALF & HALF CANS 12/CS - 24OZ,BEER,0.0,0.0,53.0
2019,6,LEGENDS LTD,24150,OSKAR BLUES MAMAS YELLA PILS 1/2K,KEGS,0.0,0.0,4.0
2017,11,CAMPARI AMERICA LLC,18481,FRANGELICO LIQUEUR - 50ML,LIQUOR,0.45,1.0,0.0
2019,9,THE WINE GROUP,80002,BIG HOUSE BIRDMAN P/GRIG - 3L,WINE,0.17,0.0,4.0
2018,2,REPUBLIC NATIONAL DISTRIBUTING CO,75456,LUXARDO AMARO ABANO - 750ML,LIQUOR,0.16,0.0,0.0
2019,10,DIAGEO NORTH AMERICA INC,44532,SMIRNOFF VODKA - WATERMELON - 50ML,LIQUOR,54.78,51.0,0.0
2017,10,REPUBLIC NATIONAL DISTRIBUTING CO,167908,NEYERS CARNEROS CHARD - 750ML,WINE,0.16,0.0,0.0
2019,9,CONSTELLATION BRANDS,89877,VENDANGE CAB - 1.5L,WINE,6.24,4.0,6.0
2017,10,CONSTELLATION BRANDS,33286,RAVENSWOOD SONOMA ZINFANDEL - 750ML,WINE,6.83,5.0,2.0
2019,9,LEGENDS LTD,30133,TRIPLE KARMELIET GIFT - 6/4,BEER,0.0,0.0,1.0
2019,9,HOTALING & CO LLC,70511,KAVALAN CONCERTMASTER WHISKEY - 750ML,LIQUOR,0.17,1.0,0.0
2017,6,BRONCO WINE COMPANY,55069,STONE CELLARS MER - 750ML,WINE,0.08,0.0,5.0
2017,10,WILSON DANIELS LTD,44625,CRYSTAL HEAD VODKA - 750ML,LIQUOR,5.41,2.0,0.0
2019,5,"THE COUNTRY VINTNER, LLC DBA WINEBOW",351132,FORTALEZA REPOSADO TEQUILA - 750ML,LIQUOR,0.0,0.0,1.0
2018,2,OSLO ENTERPRISE,313421,ANNE DE JOYEUSE MAL - 750ML,WINE,6.8,8.0,2.83
2019,2,PRESTIGE BEVERAGE GROUP OF MD LLC,316004,FORMATION P/NOIR - 750ML,WINE,0.0,0.0,3.0
2020,9,RELIABLE CHURCHILL LLLP,167100,CECCHI CHIANTI DOCG - 750ML,WINE,0.0,0.0,1.0
2017,11,A VINTNERS SELECTIONS,74175,EL DESTILADOR REPOSADO -LITER,LIQUOR,0.0,1.0,5.0
2018,1,ST KILLIAN IMPORTING CO INC,94188,KRONENBOURG 4/6 NR - 12OZ,BEER,14.0,14.0,33.0
2019,11,MONSIEUR TOUTON SELECTION,330945,TWO SISTERS P/NOIR - 750ML,WINE,0.0,0.0,1.0
2017,11,MILLER BREWING COMPANY,69086,BLUE MOON BLGM WHTE ALE 2/12NR - 12OZ,BEER,18.5,14.0,1057.5
2019,6,JACKSON FAMILY ENTERPRISES INC,343064,FREEMARK ABBEY CHARD - 750ML,WINE,2.44,4.0,5.0
2019,3,QUINTESSENTIAL LLC,336751,IRONSTONE CABERNET SAUVIGNON - 750ML,WINE,0.0,0.0,6.0
2017,10,THE HESS COLLECTION,49380,HESS COLLECTION CAB - 750ML,WINE,0.17,1.0,0.0
2019,5,KYSELA PERE ET FILS LTD,232452,BODEGAS VINSACRO DIORO RIOJA 10 - 750ML,WINE,0.17,0.0,0.0
2019,5,REPUBLIC NATIONAL DISTRIBUTING CO,318836,JOEL GOTT P/GRIS - 750ML,WINE,1.86,3.0,0.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",181064,OXFORD LANDING MER - 750ML,WINE,0.0,0.0,1.0
2020,1,BANVILLE & JONES WINE MERCHANTS,238616,ANDELUNA RAICES LIMIT ED MALBEC - 750ML,WINE,0.0,0.0,10.0
2017,9,A VINTNERS SELECTIONS,307135,BORSAO BLANCO - 750ML,WINE,0.65,1.0,0.0
2019,3,STE MICHELLE WINE ESTATES,42600,CSM INDIAN WELLS CAB - 750ML,WINE,8.72,8.0,7.0
2020,1,J LOHR WINERY,52078,J LOHR SEVEN OAKS CAB (SC) - 375ML,WINE,10.15,9.83,4.0
2017,9,A VINTNERS SELECTIONS,347937,VALLE REALE MONTEPULICANO DABRUZZO POPOLI 750 ML,WINE,0.0,0.0,2.0
2019,10,PWSWN INC,340093,CH CAZENOVE BORD SUP - 750ML,WINE,0.0,0.0,2.0
2019,5,"THE COUNTRY VINTNER, LLC DBA WINEBOW",349440,CATHEAD HOODOO CHICORY LIQUEUR - 750ML,LIQUOR,0.0,0.0,1.0
2017,6,CHEVAL QUANCARD,85612,CH OLIVER PESSAC LEOGNAN '11 - 750ML,WINE,0.16,0.0,0.0
2019,1,PRESTIGE BEVERAGE GROUP OF MD LLC,232546,CANTINE ELVIO TINTERO ROSATO - 750ML,WINE,0.0,0.0,1.0
2019,9,RELIABLE CHURCHILL LLLP,345954,CECCHI BONIZIO TUSCAN RED - 1.5L,WINE,0.0,0.0,14.0
2019,6,LEGENDS LTD,27548,CARLSBERG 50L - 1/2K,KEGS,0.0,0.0,3.0
2019,11,PIPE CREEK WINES LLC,348420,CH ROCHER CALON ST. EMILION - 750ML,WINE,0.0,0.0,4.0
2019,10,"THE COUNTRY VINTNER, LLC DBA WINEBOW",338694,DR LOOSEN DR L DRY RIES - 750ML,WINE,2.87,2.0,6.0
2017,11,ELITE WINES IMPORTS,348953,TORBRECK WOODCUTTERS SHZ - 750ML,WINE,0.32,0.0,2.0
2018,1,SOKOL BLOSSER LTD,305995,SOKOL BLOSSER P/GRIS - 750ML,WINE,0.33,1.0,0.0
2017,8,BACCHUS IMPORTERS LTD,343862,MATHILDA CASSIS - 750ML,LIQUOR,0.0,0.0,2.0
2019,9,PERNOD RICARD USA LLC,50733,KAHLUA COFFEE - 1.75L,LIQUOR,27.98,24.0,0.0
2018,2,A VINTNERS SELECTIONS,399167,ALTOSUR CAB - 750ML,WINE,0.0,0.0,5.0
2020,1,RIGHT FORWARD LLC,11918,RIGHT PROPER RAISED BY WOLVES - 1/2K,KEGS,0.0,0.0,5.0
2017,10,INTERNATIONAL CELLARS LLC,303063,PACIFIC REDWOOD CAB - 750ML,WINE,0.0,0.0,1.0
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,313886,STELLA ROSA BLK RED - 250ML,WINE,0.37,1.0,0.0
2019,2,THE WINE GROUP,349220,D'ORSAY FRENCH ROSE - 750ML,WINE,3.4,1.0,1.0
2020,9,THE WINE GROUP,82244,FRANZIA CHABLIS BIB - 5L,WINE,23.5,22.0,90.0
2019,8,SOUTHERN GLAZERS WINE AND SPIRITS,238058,FLAT TOP HILLS CAB - 750ML,WINE,0.0,0.0,2.0
2019,10,BACARDI USA INC,38601,BACARDI RUM - GOLD - 1.75L,LIQUOR,63.51,90.0,0.0
2017,7,PRESTIGE BEVERAGE GROUP OF MD LLC,71972,LOCH LOMOND 12YR -750ML,LIQUOR,0.51,0.0,0.0
2019,1,NARRAGANSETT BREWING COMPANY,88368,NARRAGANSETT LAGER 16.0Z 6PK CAN,BEER,0.0,0.0,29.0
2020,9,ANHEUSER BUSCH INC,25983,OMISSION PALE ALE 4/6 NR - 12OZ,BEER,8.25,7.0,48.0
2019,6,LCF WINE COMPANY LLC,318082,LANGE TWINS CHARD - 750ML,WINE,0.0,0.0,2.0
2020,9,DISARONNO INTERNATIONAL LLC,51691,AMARETTO DI SARONNO - 375ML,LIQUOR,0.32,1.0,0.0
2017,11,FRANCIS COPPOLA WINERY LLC,52744,COPPOLA DIAMOND ZIN - 750ML,WINE,29.08,36.0,2.0
2017,6,BACCHUS IMPORTERS LTD,311091,CLINE COOL CLIMATE P/NOIR - 750ML,WINE,0.0,0.0,1.0
2019,7,E & J GALLO WINERY,80380,J VINEYARDS RR/ SONOMA CHARD,WINE,4.39,4.0,1.0
2017,10,INTERBALT PRODUCTS CORP,311868,SANTERO D'ASTI - 750ML,WINE,0.0,0.0,2.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,423912,CLIFFORD BAY S/BLC - 750ML,WINE,0.0,0.0,6.0
2017,9,RELIABLE CHURCHILL LLLP,141127,OZEKI SAKE - 750ML,WINE,0.0,0.0,3.0
2019,10,AMERICAN BEVERAGE MARKETERS,70924,MASTER OF MIXES COCKTAIL ESS LIME JUICE - 375ML,NON-ALCOHOL,39.31,42.0,2.0
2020,7,JIM BEAM BRANDS CO,11886,JIM BEAM WHITE - 375ML,LIQUOR,27.2,23.0,0.0
2019,10,PRESTIGE BEVERAGE GROUP OF MD LLC,317451,LAN ZUR MAL - 750ML,WINE,0.24,0.0,1.0
2018,2,MONSIEUR TOUTON SELECTION,43981,FINCA DECERO MAL - 750ML,WINE,0.0,0.0,8.0
2017,11,LUNEAU USA INC,104639,JULES BERTIER SPARK - 750ML,WINE,0.08,0.0,3.0
2017,8,A VINTNERS SELECTIONS,330466,BUTTERNUT CHARD - 19.5L,WINE,0.0,0.0,1.0
2019,2,SOUTHERN GLAZERS WINE AND SPIRITS,318500,HOUSE WINE MTN MER            319847 - 750ML,WINE,0.0,0.0,7.0
2017,11,REPUBLIC NATIONAL DISTRIBUTING CO,40282,MICHELE CHIARLO NIVOLE MOSCATO - 375ML,WINE,1.59,0.0,1.0
2019,5,THE WINE GROUP,32131,FISH EYE SHZ - 3L,WINE,2.86,2.0,0.0
2019,5,OPICI FAMILY DISTRIBUTING OF MD,345734,DOM BOUSQUET MAL - 750ML,WINE,0.0,0.0,3.0
2019,3,LANTERNA DISTRIBUTORS INC,166420,PACIFICANA CHARD - 750ML,WINE,0.0,0.0,2.0
2018,1,REPUBLIC NATIONAL DISTRIBUTING CO,64912,OGGI P/GRIG - 750ML,WINE,0.16,0.0,0.0
2019,6,DESCHUTES BREWERY INC,60114,DESCHUTES MIRROR POND PALE ALE 4/6 NR,BEER,0.0,0.0,2.0
2019,11,DIONYSOS IMPORTS INC,143588,BOUTARI NEMEA RED - 750ML,WINE,0.08,0.0,0.0
2017,10,REPUBLIC NATIONAL DISTRIBUTING CO,179337,ESPERTO P/GRIG - 750ML,WINE,0.0,0.0,5.0
2017,11,CONSTELLATION BRANDS,86118,WOODBRIDGE CAB - 750ML,WINE,69.47,82.0,103.0
2019,3,THE BROOKLYN BREWERY CORPORATION,92746,BROOKLYN PILSNER 4/6NR - 12OZ,BEER,0.0,0.0,7.0
2017,7,RELIABLE CHURCHILL LLLP,44316,OLD PULTENEY 21YR - 750ML,LIQUOR,0.51,0.0,0.0
2018,1,REPUBLIC NATIONAL DISTRIBUTING CO,90010,VERDI SPRK PEACH MB NR - 750ML,BEER,0.0,0.0,4.0
2019,5,DIAGEO NORTH AMERICA INC,20613,SEAGRAM'S 7 CROWN - 750ML,LIQUOR,9.98,8.0,0.0
2020,9,RELIABLE CHURCHILL LLLP,240523,FREIXENET ICE CUVEE ROSE NV - 750ML,WINE,0.0,0.0,1.0
2019,9,THE WINE GROUP,21326,FISH EYE CHARD - 750ML,WINE,6.06,4.0,11.0
2017,11,E & J GALLO WINERY,68691,BELLA SERA P/GRIG - 750ML,WINE,12.08,11.0,20.0
2019,10,SOUTHERN GLAZERS WINE AND SPIRITS,340115,HOUSE WINE MER - 3L,WINE,0.0,0.0,1.0
2019,5,MONSIEUR TOUTON SELECTION,312445,LA BORGEOISE SANCERRE - 750ML,WINE,0.0,0.0,1.0
2018,1,BACCHUS IMPORTERS LTD,118176,ALTOS DE LAS HORMIGAS MAL - 750ML,WINE,0.24,2.0,4.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,98213,SAPPORO DRAFT NR 12/CS - 20.3OZ,BEER,0.08,0.0,34.0
2017,10,SOUTHERN GLAZERS WINE AND SPIRITS,337215,FINCA FLICHMAN MALB - 750ML,WINE,7.3,1.0,0.0
2017,11,CONSTANTINE WINES INC,329466,QUINTA DE AVELEDA - 750ML,WINE,0.0,0.0,2.0
2018,1,REPUBLIC NATIONAL DISTRIBUTING CO,17779,LINGANORE MAY WINE - 750ML,WINE,0.32,0.0,0.0
2020,7,BOSTON BEER CORPORATION,51140,TRULY WILD BERRY 1/12PK 24OZ CAN,BEER,30.8,6.0,75.92
2017,9,BROWN-FORMAN BEVERAGES WORLDWIDE,71724,GENTLEMAN JACK - 375ML,LIQUOR,1.52,0.0,0.0
2019,2,CONSTELLATION BRANDS,313564,VENDANGE TETRA MER - 500ML,WINE,0.0,0.0,3.0
2019,10,Default,106,SIX BOTTLE WINE TOTE (NO LOGO),STR_SUPPLIES,1.0,8.0,0.0
2017,6,A VINTNERS SELECTIONS,435163,CHARLES BOVE SPARK - 750ML,WINE,0.0,0.0,2.0
2020,3,WESTERN SPIRITS BEVERAGE COMPANY LLC,71485,TWENTY GRAND VODKA - APPLE -750ML,LIQUOR,0.5,0.0,0.0
2017,8,TREASURY WINE ESTATES AMERICAS COMPANY,81265,CH ST JEAN SONOMA CHARD 6/CS - 750ML,WINE,1.18,7.0,2.0
2020,1,CLIPPER CITY BREWING CO,2615,HEAVY SEAS DOUBLE CANNON 4/6NR - 12OZ,BEER,13.0,16.0,82.0
2017,11,THE WINE GROUP,84913,FRANZIA CHIANTI BIB - 5L,WINE,16.25,10.0,17.0
2019,3,MONSIEUR TOUTON SELECTION,337932,GR ORDINAIRE GR RES VIGNE NOIR - 750ML,WINE,0.0,0.0,1.0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,329024,OPICI SANGRIA RED - 3L,WINE,0.0,0.0,1.0
2020,9,CONSTELLATION BRANDS,54003,R MONDAVI PR SEL P/GRIG - 750ML,WINE,2.54,2.0,7.0
2020,1,J LOHR WINERY,85065,J LOHR RIVERSTONE CHARD - 750ML,WINE,109.79,88.0,56.0
2019,9,SUTTER HOME WINERY INC,323951,MENAGE A TROIS MER - 750ML,WINE,0.32,1.0,0.0
2019,7,LUNEAU USA INC,317696,TAVERNELLO P/GRIG - 1.5L,WINE,0.0,0.0,1.0
2017,12,LEGENDS LTD,5169,OMMEGANG ABBEY ALE 6/4PK NR - 12OZ,BEER,0.34,0.0,3.0
2017,10,PROXIMO SPIRITS INC,29556,BUSHMILLS BLACK BUSH IRISH WHSKY - 750ML,LIQUOR,4.55,18.0,0.0
2018,1,REPUBLIC NATIONAL DISTRIBUTING CO,44245,STAGS LEAP CASK 23 6/CS - 750ML,WINE,0.33,1.0,0.0
2019,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",309822,CANTINA NALLES P/GRIG - 750ML,WINE,0.0,0.0,2.0
2019,6,LEGENDS LTD,27647,SIXPOINT SWEET ACTION 4/6 CANS - 12OZ,BEER,1.16,2.0,2.0
2017,10,E & J GALLO WINERY,89680,SOUVERAIN CAB - 750ML,WINE,19.55,18.0,10.0
2019,1,BACCHUS IMPORTERS LTD,88277,ROUND HILL CAL MER - 750ML,WINE,0.0,0.0,1.0
2017,8,MONSIEUR TOUTON SELECTION,233744,PETIT BOURGEOIS CAB/FR  - 750ML,WINE,0.0,0.0,6.0
2019,4,DIAGEO NORTH AMERICA INC,44663,SMIRNOFF VODKA - CIRUS TW - 375ML,LIQUOR,0.08,0.0,0.0
2018,2,LEGENDS LTD,10293,OSKAR BLUES IPA - 1/2,KEGS,0.0,0.0,2.0
2019,8,DIONYSOS IMPORTS INC,406198,ERMITA PETRER TINTO ORGANIC - 750ML,WINE,0.0,0.0,1.0
2020,1,CONSTANTINE WINES INC,348706,RISKY GRAPES ATANCE - 750ML,WINE,0.0,0.0,2.0
2017,12,JIM BEAM BRANDS CO,47417,PINNACLE VODKA - WHIPPED - 1L,LIQUOR,1.04,0.0,0.0
2018,2,RUSSIAN STANDARD VODKA (USA) INC,336753,RUSSIAN STANDARD PLATINUM - 750ML,LIQUOR,0.96,0.0,0.0
2019,4,"THE COUNTRY VINTNER, LLC DBA WINEBOW",46082,TILIA TORRONTES - 750ML,WINE,0.0,0.0,1.0
2019,4,SCHMITT SOHNE INC,65145,SOHNE RIES QBA (BLUE) - 1.5L,WINE,12.74,0.0,0.0
2017,7,C MONDAVI & SONS,84461,C K MONDAVI SCARLET FIVE - 1.5L,WINE,1.51,2.0,0.0
2018,2,INTERBALT PRODUCTS CORP,348164,BATUKO ELEGANT SAUVIGNON BLANC - 750ML,WINE,0.0,0.0,4.0
2017,8,A VINTNERS SELECTIONS,12980,CATENA ALTA CAB - 750ML,WINE,0.67,0.0,0.0
2020,9,HUB WINE CORPORATION,351276,90+ CELLARS LOT 155 SOCO ZINFANDEL - 750ML,WINE,0.0,0.0,1.0
2017,8,PROXIMO SPIRITS INC,71149,STRANAHANS COLORADO WHISKEY - 750ML,LIQUOR,1.7,1.0,0.0
2019,4,DIAGEO NORTH AMERICA INC,78383,CAPTAIN MORGAN 100 PROOF RUM - 50ML,LIQUOR,6.18,3.0,0.0
2019,3,LEGENDS LTD,63420,THE BRUERY FRUCHT: GRAPEFRUIT AND SALT 1/6 KEG,KEGS,0.0,0.0,2.0
2019,1,AMERICAN FIDELITY TRADING,101079,KSARA CUV DU PAPE CHARD - 750ML,WINE,0.0,0.0,0.0
2017,7,THE WINE GROUP,86445,FRANZIA P/GRIG COL- 5L,WINE,59.25,49.75,34.0
2019,10,"THE COUNTRY VINTNER, LLC DBA WINEBOW",339537,DIBON BRUT ROSE - 750ML,WINE,0.0,0.0,5.0
2019,7,"THE COUNTRY VINTNER, LLC DBA WINEBOW",40803,SELBACH RIES DRY - 750ML,WINE,0.08,0.0,0.0
2019,7,TRADEWINDS SPECIALTY IMPORTS LLC,309225,ALEXANDRO CREAM - 375ML,WINE,0.0,0.0,1.0
2020,9,DIAGEO NORTH AMERICA INC,27545,JOHNNIE WALKER RED - 750ML,LIQUOR,49.13,44.0,1.0
2020,1,FREIXENET USA,72583,R BARBIER MED RED - 750ML,WINE,5.06,6.0,5.0
2019,2,REPUBLIC NATIONAL DISTRIBUTING CO,303484,PLYMOUTH SLOE GIN - 750ML,LIQUOR,0.33,0.0,0.0
2017,8,JACK POUST & COMPANY INC,64033,ENRICO PROSECCO BRUT 6/CS - 750ML,WINE,8.03,8.0,1.0
2019,5,DOPS INC,90760,CHIMAY PREMIERE RED CAP NR - 25.4OZ,BEER,0.48,1.0,2.0
2017,12,LAPHAM SALES & MARKETING DBA LAPHAM,306681,LOMBARDO MARASALA SWEET - 750ML,WINE,0.16,0.0,2.0
2019,3,DIAGEO NORTH AMERICA INC,78397,CAPTAIN MORGAN 100 PROOF RUM - 1.75L,LIQUOR,41.17,39.0,0.0
2019,6,YUENGLING BREWERY,23924,YUENGLING LAGER CANS - 24OZ,BEER,0.0,0.0,154.0
2020,3,DIAGEO NORTH AMERICA INC,58092,KETEL ONE VODKA-W/GLASS - 750ML,LIQUOR,0.34,4.0,0.0
2019,8,PERNOD RICARD USA LLC,36714,ABSOLUT VODKA - MANDRIN - 50ML,LIQUOR,2.67,2.0,0.0
